passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount	tpep_pickup_datetime_day	tpep_pickup_datetime_month	tpep_pickup_datetime_year	tpep_pickup_datetime_hour	tpep_pickup_datetime_minute	tpep_dropoff_datetime_day	tpep_dropoff_datetime_month	tpep_dropoff_datetime_year	tpep_dropoff_datetime_hour	tpep_dropoff_datetime_minute
2	2.6	1	N	2	17.5	0	0.5	0	0	0.3	18.3	5	1	2017	14	56	5	1	2017	15	24
1	0.8	1	N	1	4.5	1	0.5	1.26	0	0.3	7.56	28	3	2017	19	10	28	3	2017	19	13
1	2.9	1	N	2	16	0	0.5	0	0	0.3	16.8	1	9	2017	9	37	1	9	2017	10	0
1	11.07	1	N	1	32.5	0.5	0.5	6.76	0	0.3	40.56	17	8	2017	22	6	17	8	2017	22	32
1	2.7	1	N	1	15.5	0	0.5	4.05	0	0.3	20.35	10	2	2017	11	47	10	2	2017	12	9
2	2.51	1	N	1	10	0.5	0.5	3.39	0	0.3	14.69	7	3	2017	20	19	7	3	2017	20	29
1	0.78	1	N	2	7	0	0.5	0	0	0.3	7.8	18	3	2017	12	12	18	3	2017	12	20
1	0.85	1	N	1	4.5	0	0.5	1.59	0	0.3	6.89	3	3	2017	8	2	3	3	2017	8	5
5	0.38	1	N	1	4	1	0.5	1.16	0	0.3	6.96	26	4	2017	18	8	26	4	2017	18	11
1	1.15	1	N	1	8	0	0.5	1.76	0	0.3	10.56	21	4	2017	15	8	21	4	2017	15	18
1	7.16	1	N	2	21	0	0.5	0	0	0.3	21.8	4	2	2017	18	4	4	2	2017	18	19
6	0.22	3	N	2	21.5	0	0	0	0	0.3	21.8	5	10	2017	9	39	5	10	2017	9	42
1	0.7	1	N	1	5	0	0.5	1.15	0	0.3	6.95	17	3	2017	9	17	17	3	2017	9	21
6	0.71	1	N	2	4.5	0	0.5	0	0	0.3	5.3	31	12	2017	13	3	31	12	2017	13	6
1	3.1	1	N	1	28	0	0.5	5.76	0	0.3	34.56	12	12	2017	11	12	12	12	2017	12	1
2	2.96	1	N	1	13	0.5	0.5	2.86	0	0.3	17.16	3	9	2017	23	15	3	9	2017	23	31
1	0.8	1	N	1	5.5	0	0.5	1	0	0.3	7.3	13	12	2017	7	6	13	12	2017	7	11
1	0.96	1	N	2	5.5	1	0.5	0	0	0.3	7.3	1	8	2017	18	9	1	8	2017	18	14
4	1.9	1	N	2	10.5	0	0.5	0	0	0.3	11.3	10	10	2017	14	40	10	10	2017	14	54
4	0.97	1	N	2	6.5	0.5	0.5	0	0	0.3	7.8	5	8	2017	22	28	5	8	2017	22	34
2	0.95	1	N	1	5	0.5	0.5	1	0	0.3	7.3	13	8	2017	3	50	13	8	2017	3	53
4	1.02	1	N	1	6	0.5	0.5	1.46	0	0.3	8.76	25	4	2017	22	20	25	4	2017	22	25
1	0.78	1	N	1	5	0	0.5	1	0	0.3	6.8	1	5	2017	9	42	1	5	2017	9	47
6	1.16	1	N	1	7	0	0.5	1.95	0	0.3	9.75	3	6	2017	18	55	3	6	2017	19	3
3	4.3	1	N	1	17.5	0.5	0.5	2.22	0	0.3	21.02	16	4	2017	2	43	16	4	2017	3	4
1	1.9	1	N	1	9.5	0	0.5	2.55	0	0.3	12.85	25	2	2017	13	4	25	2	2017	13	15
2	11.2	1	N	1	31.5	0.5	0.5	6.56	0	0.3	39.36	17	3	2017	22	0	17	3	2017	22	22
1	2	1	N	2	8	0.5	0.5	0	0	0.3	9.3	10	1	2017	21	6	10	1	2017	21	13
2	1.02	1	N	1	8.5	0	0.5	1.86	0	0.3	11.16	16	11	2017	9	31	16	11	2017	9	43
3	5.11	1	N	1	16.5	0.5	0.5	5.34	0	0.3	23.14	28	10	2017	4	16	28	10	2017	4	33
1	0.96	1	N	2	6.5	0	0.5	0	0	0.3	7.3	13	10	2017	15	48	13	10	2017	15	56
1	1.9	1	N	1	8	0.5	0.5	1.86	0	0.3	11.16	20	9	2017	23	46	20	9	2017	23	54
1	1.6	1	N	1	8	0	0.5	1	0	0.3	9.8	29	7	2017	13	27	29	7	2017	13	36
1	0.4	1	N	2	4.5	0	0.5	0	0	0.3	5.3	6	9	2017	11	37	6	9	2017	11	40
1	0.9	1	N	1	5	0	0.5	1	0	0.3	6.8	28	9	2017	7	17	28	9	2017	7	21
1	4.96	1	N	1	17	0.5	0.5	3.66	0	0.3	21.96	18	8	2017	1	17	18	8	2017	1	34
1	4.9	1	N	1	16	1	0.5	5.3	0	0.3	23.1	28	2	2017	18	2	28	2	2017	18	13
1	9.6	1	N	2	30.5	1	0.5	0	0	0.3	32.3	10	3	2017	18	31	10	3	2017	18	58
1	2.9	1	N	2	17.5	0	0.5	0	0	0.3	18.3	6	5	2017	14	54	6	5	2017	15	19
2	1.62	1	N	1	8	0.5	0.5	1	0	0.3	10.3	15	7	2017	0	28	15	7	2017	0	37
1	13.8	1	N	1	39	0	0.5	9.1	5.76	0.3	54.66	17	10	2017	14	29	17	10	2017	15	0
1	1.7	1	N	1	14.5	0	0.5	1	0	0.3	16.3	11	2	2017	19	9	11	2	2017	19	32
2	0.88	1	N	1	6.5	1	0.5	0.5	0	0.3	8.8	23	6	2017	19	53	23	6	2017	20	0
1	1.46	1	N	1	7	0.5	0.5	1.24	0	0.3	9.54	26	3	2017	20	6	26	3	2017	20	14
1	1.66	1	N	1	10	0	0.5	1.2	0	0.3	12	27	7	2017	10	10	27	7	2017	10	23
1	1.63	1	N	1	9.5	0.5	0.5	2.16	0	0.3	12.96	11	12	2017	20	4	11	12	2017	20	16
1	10	1	N	1	34.5	0	0.5	7.05	0	0.3	42.35	18	11	2017	13	4	18	11	2017	13	39
1	1.42	1	N	2	7	0.5	0.5	0	0	0.3	8.3	18	3	2017	23	41	18	3	2017	23	49
1	0.72	1	N	1	8	0	0.5	0	0	0.3	8.8	7	2	2017	8	56	7	2	2017	9	7
3	9.67	1	N	1	31	0.5	0.5	8.08	0	0.3	40.38	31	3	2017	20	18	31	3	2017	20	50
1	2.3	1	N	1	12.5	0.5	0.5	2.75	0	0.3	16.55	24	5	2017	20	46	24	5	2017	21	2
1	4.7	1	N	1	18.5	0.5	0.5	3	0	0.3	22.8	15	2	2017	20	16	15	2	2017	20	39
1	3.5	1	N	2	19.5	0	0.5	0	0	0.3	20.3	29	9	2017	11	38	29	9	2017	12	10
1	2.7	1	N	2	12.5	0	0.5	0	0	0.3	13.3	16	8	2017	9	30	16	8	2017	9	46
2	1.07	1	N	2	8	1	0.5	0	0	0.3	9.8	13	6	2017	19	17	13	6	2017	19	27
2	2.3	1	N	2	13	0	0.5	0	0	0.3	13.8	5	8	2017	15	42	5	8	2017	16	0
1	6.93	1	N	2	24	0.5	0.5	0	0	0.3	25.3	13	5	2017	20	55	13	5	2017	21	20
6	2.95	1	N	2	13.5	0.5	0.5	0	0	0.3	14.8	10	4	2017	22	17	10	4	2017	22	33
1	18	2	N	1	52	0	0.5	0	0	0.3	52.8	3	6	2017	14	24	3	6	2017	15	31
6	6.25	1	N	1	22.5	0	0.5	4.66	0	0.3	27.96	17	11	2017	12	1	17	11	2017	12	24
1	1.8	1	N	2	9.5	0.5	0.5	0	0	0.3	10.8	28	9	2017	21	17	28	9	2017	21	30
6	0.63	1	N	1	4.5	0.5	0.5	1.16	0	0.3	6.96	1	4	2017	2	56	1	4	2017	3	0
2	1.3	1	N	1	7	0	0.5	0	0	0.3	7.8	21	10	2017	19	27	21	10	2017	19	34
6	3.22	1	N	1	11.5	1	0.5	3.32	0	0.3	16.62	29	12	2017	17	22	29	12	2017	17	32
2	1.09	1	N	1	6.5	0	0.5	1	0	0.3	8.3	27	9	2017	9	10	27	9	2017	9	16
1	0.79	1	N	2	7	0.5	0.5	0	0	0.3	8.3	9	7	2017	2	27	9	7	2017	2	35
1	1.1	1	N	1	5.5	0.5	0.5	1.35	0	0.3	8.15	15	10	2017	1	4	15	10	2017	1	9
1	2.73	1	N	1	20.5	1	0.5	4.46	0	0.3	26.76	23	6	2017	17	55	23	6	2017	18	29
1	1.9	1	N	2	9	0.5	0.5	0	0	0.3	10.3	9	6	2017	23	53	10	6	2017	0	2
5	2.85	1	N	1	12.5	0	0.5	1	0	0.3	14.3	4	3	2017	16	40	4	3	2017	16	56
1	1.8	1	N	2	11.5	0.5	0.5	0	0	0.3	12.8	8	9	2017	21	45	8	9	2017	22	2
2	0.83	1	N	1	6	0	0.5	0.7	0	0.3	7.5	7	4	2017	13	53	7	4	2017	13	59
1	4.2	1	N	1	22	0	0.5	4.56	0	0.3	27.36	22	12	2017	11	49	22	12	2017	12	21
1	1.6	1	N	2	11	1	0.5	0	0	0.3	12.8	18	12	2017	19	21	18	12	2017	19	37
1	0.5	1	N	1	4.5	0.5	0.5	2	0	0.3	7.8	6	12	2017	22	49	6	12	2017	22	53
1	1.71	1	N	1	10.5	0	0.5	2.26	0	0.3	13.56	19	5	2017	8	5	19	5	2017	8	20
1	0	3	N	2	20	0	0	0	0	0.3	20.3	22	6	2017	8	5	22	6	2017	8	5
1	1.06	1	N	2	5.5	0.5	0.5	0	0	0.3	6.8	17	6	2017	0	21	17	6	2017	0	26
2	4.1	1	N	1	17.5	0.5	0.5	3.75	0	0.3	22.55	18	3	2017	23	23	18	3	2017	23	43
1	1.08	1	N	1	6	1	0.5	1.17	0	0.3	8.97	12	12	2017	16	50	12	12	2017	16	56
1	2.6	1	N	2	13	0	0.5	0	0	0.3	13.8	24	11	2017	15	17	24	11	2017	15	33
1	0.91	1	N	2	6	1	0.5	0	0	0.3	7.8	29	12	2017	16	4	29	12	2017	16	10
1	0.95	1	N	1	8.5	1	0.5	2	0	0.3	12.3	18	7	2017	19	11	18	7	2017	19	23
1	1.71	1	N	1	6.5	0.5	0.5	1	0	0.3	8.8	8	1	2017	2	59	8	1	2017	3	4
1	2.62	1	N	2	10	0.5	0.5	0	0	0.3	11.3	9	7	2017	3	1	9	7	2017	3	11
