SPAIN_IMP_F_FREN(/MWh),FREN_MARKET(/MWh),SPAIN_EXP_TO_PORT(/MWh),SPAIN_IMP_F_PORT_PORT(/MWh),SPAIN_EXP_TO_FREN(/MWh),SPAIN_COMP_CYCLE(MWH),SPAIN_WIND(MWH),SPAIN_NUC(MWH),SPAIN_TOT_GENERATION(MWH),SPAIN_HYDRO(MWH),SPAIN_COAL(MWH),SPAIN_ACTUAL_D(MW),SPAIN_TOTAL_DEMAND(MWH),DAILY_FREN_MARKET(MWH),DAILY_SPAN_MARKET(MWH),SPAIN_GAS(MWH)2,SPAIN_PHVOLTAIC(MWH)2,SPAIN_HYDRO_TOT(MWH),PORT_MARKET(/MWh),SPAIN_GENERATION,OUTPUT,datetime_year,datetime_month,datetime_day
-0.2954151418352379,0.1923407243673357,-5.199337582605575,-5.199337582605575,1.698097806409907,-5.199337582605575,0.0,0.0,0.0,0.4873947917470497,0.0,0.0,0.0,397396.6,247295.8,-1.0296424898804928,19967.0,-0.21488004053522722,1.2301302073844385,0.0,-1.478645615283725,2018,12,31
-0.2954151418352379,0.9994228490305785,-5.199337582605575,-5.199337582605575,0.4341403619853879,0.5390807456180534,97631.5,145430.4,526930.6,0.10164472950637697,34197.3,25908.57639,597701.2,449552.2,227376.4,-0.3924491546110714,18812.7,0.20020311129773596,1.0311264010094474,34197.3,-0.8073300519350616,2018,12,27
-0.2954151418352379,0.5796669974121821,-5.199337582605575,-5.199337582605575,0.41059358728616097,-2.032673256129501,151707.2,145392.0,510049.1,0.1938736419592057,683.0,25255.05556,574254.2,425522.8,203769.6,0.7760081012055023,18946.6,-0.003414692509202231,0.6881599421028883,683.0,-2.4320084671199838,2018,12,30
-0.2954151418352379,0.9094208170760809,-5.199337582605575,-5.199337582605575,0.17235749456986307,-5.199337582605575,188485.7,145418.4,543353.5,0.15068435794865367,1776.0,26632.84028,602541.7,455438.4,204378.8,0.9900033219351104,15096.0,-0.09589747117792276,0.5865525775759771,1776.0,-2.5115471259378297,2018,12,26
-0.2954151418352379,1.2497127046142023,-5.199337582605575,-5.199337582605575,-0.26331495967761737,0.3295546463020392,120618.6,145380.0,589771.5,0.16322437650656754,68721.4,28624.19444,639571.2,490658.5,231141.3,1.649390721182622,14287.2,0.253060508241428,1.2724921155872124,68721.4,-1.9755678501826943,2018,12,29
-0.2954151418352379,1.2835988226749016,-5.199337582605575,-5.199337582605575,0.08828925110606554,1.2599911193822388,59887.6,145171.2,611465.3,0.9118651094582734,84528.1,28521.42361,649103.9,482798.8,245317.4,1.2649700752792554,14083.1,0.7332400157511295,1.7167957299115613,84528.1,-0.16679988825372122,2018,12,23
-0.2954151418352379,0.8718749311405365,-5.199337582605575,1.2750779857190375,0.6245293381408404,0.8884461946907576,75764.6,145139.2,562606.4,0.22638941013193545,75146.0,26514.39583,612702.5,476122.2,211013.4,0.6152372149386621,12802.5,0.4895939971843675,1.1926605711375036,75146.0,-0.7157475106988818,2018,12,28
1.0710369822070511,0.04066258564486825,-5.199337582605575,-5.199337582605575,0.8173910301388291,-1.3667430396696734,64066.0,135682.5,463137.8,-0.6045313532381682,73230.7,22331.72222,527281.8,402771.7,278151.2,-1.0772735060527505,11381.0,0.11260035602085902,1.1070241658731907,73230.7,-0.04111384190433689,2018,12,18
0.9665746859756252,0.7366826977960916,-5.199337582605575,-5.199337582605575,0.8743127714523432,0.7701285056756958,68630.0,138574.3,532506.3,-0.4910826691470728,76705.9,25500.34028,596095.6,470351.2,311125.3,-0.3739311899575543,14044.0,0.3368696322210874,1.3208157156640514,76705.9,0.5144056450532616,2018,12,17
1.4005233319120265,0.44705756136207414,-5.199337582605575,-5.199337582605575,0.4770161788372208,-0.3069193570365448,65225.4,131218.1,511090.4,-0.7579751507415945,84283.9,25478.16667,585545.9,448926.6,295663.5,1.1606377295659351,13894.4,0.24922193041027726,1.1829822095148024,84283.9,0.06599167295153638,2018,12,16
-0.2954151418352379,0.3918472028573862,-5.199337582605575,-5.199337582605575,0.9861388635367393,-0.5806170595305953,123304.7,121545.0,553252.4,-0.43701007661617836,84106.7,27151.75,624097.1,490390.0,305952.2,1.4008287702030782,14000.7,0.1785578168968035,1.1096404521266203,84106.7,-0.9416878993266264,2018,12,25
1.0693708512167035,0.9343906481961441,-5.199337582605575,-5.199337582605575,0.5906281783042938,-1.7038961651811093,199569.6,121459.2,631219.3,0.3393162949990592,89276.1,30593.53472,696422.1,551284.8,330029.2,2.08053824362148,13239.1,0.10680147974760239,0.89201963125153,89276.1,-0.8670146770028301,2018,12,15
-0.2954151418352379,1.1798887976352623,-5.199337582605575,-5.199337582605575,0.20692367722936839,-0.06270296584908783,162917.8,121545.0,649604.5,-0.19619899445738975,113747.0,31725.70833,718927.8,583759.3,312239.5,2.108262527167416,11598.7,0.3712641517728893,1.2230411343719316,113747.0,-1.1381166197684056,2018,12,24
1.066482505577162,1.263607964506688,1.1174609549064822,1.1211672538153596,-0.29810919712646644,-0.36495913739022334,234260.5,146463.1,710485.9,-0.2553108990170843,98257.3,32158.07639,727532.5,592216.2,265203.7,2.055074910157047,12389.7,0.2071674112787823,0.85627112173142,98257.3,0.024186719364997993,2018,12,14
1.6238241930360597,1.3052886903973697,1.3661045983752274,-5.199337582605575,-0.28013096103651713,-0.010253231410836313,229432.2,146541.6,717460.4,-0.037825451496004706,91714.2,32795.50694,741257.1,589420.3,289464.0,2.015271511686348,12960.6,0.29919459365661705,1.0025805189350139,91714.2,-0.6583996032310948,2018,12,13
